id,location,rural_urban,school_category,school_management,girls_0,boys_0,girls_1,boys_1,girls_2,boys_2,girls_3,boys_3,girls_4,boys_4,girls_5,boys_5,girls_6,boys_6,girls_7,boys_7,girls_8,boys_8,girls_9,boys_9,girls_10,boys_10,girls_11,boys_11,girls_12,boys_12
35,All India,Urban,HSS (VI-XII),Government Aided,0,0,0,0,0,0,0,0,0,0,12250,10902,100031,109804,101809,111077,132986,154330,191226,259927,176548,229378,206251,295662,192560,252366
36,All India,Rural,HSS (XI-XII),Government Aided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130891,143278,119562,129089
37,All India,Urban,HSS (XI-XII),Government Aided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239662,243573,229119,231623
38,All India,Rural,PS (I-V),Government Aided,75871,78535,105014,111203,102306,106781,104385,110436,106347,111690,49667,51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,All India,Urban,PS (I-V),Government Aided,43458,42861,126180,123475,122959,120302,131339,128806,138517,136490,50701,47416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,All India,Rural,SS (I-X),Government Aided,4043,4306,7579,7990,7529,7736,8399,8758,9185,9097,88573,96453,101334,110733,104286,115354,131881,140007,137705,147095,134496,146471,0,0,0,0
41,All India,Urban,SS (I-X),Government Aided,3621,3141,7513,6735,7115,6476,8253,7515,8557,7774,78784,75339,86306,83715,93313,91847,112719,111389,120255,117464,122266,119951,0,0,0,0
42,All India,Rural,SS (IX-X),Government Aided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49995,57822,168756,176556,160213,169198,0,0,0,0
43,All India,Urban,SS (IX-X),Government Aided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41385,36930,70173,65332,69557,64355,0,0,0,0
44,All India,Rural,SS (VI-X),Government Aided,0,0,0,0,0,0,0,0,0,0,9569,7976,35025,35528,38142,37176,121344,124812,156261,161788,153535,161261,0,0,0,0
45,All India,Urban,SS (VI-X),Government Aided,0,0,0,0,0,0,0,0,0,0,5424,3407,29283,23504,32524,25249,64953,57972,72436,63930,72777,64056,0,0,0,0
46,All India,Rural,UPS (I-VIII),Government Aided,33867,34899,83653,89477,82646,86849,87052,93181,92143,99342,104257,113909,107110,118339,100877,114929,26661,27764,0,0,0,0,0,0,0,0
47,All India,Urban,UPS (I-VIII),Government Aided,27862,27593,114493,118122,104516,104279,114625,115591,119741,121503,118563,123513,124314,130768,122428,128442,31620,31921,0,0,0,0,0,0,0,0
48,All India,Rural,UPS (VI-VIII),Government Aided,0,0,0,0,0,0,0,0,0,0,15696,17466,148137,146958,141915,139788,120028,113436,0,0,0,0,0,0,0,0
49,All India,Urban,UPS (VI-VIII),Government Aided,0,0,0,0,0,0,0,0,0,0,2152,2383,19215,19436,18679,18931,17263,17496,0,0,0,0,0,0,0,0
50,All India,Rural,HSS (I-XII),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,124,191,91,138,89,127,106,130,96,140,90,109,84,104
51,All India,Rural,HSS (IX-XII),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,110,132,108,137,113,118,85,104
52,All India,Rural,HSS (VI-XII),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,13489,18442,13916,20171,13142,20134,15005,20041,14273,19739,11969,16321,10924,16240
53,All India,Urban,HSS (VI-XII),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,2588,3518,2620,3944,2512,4031,2914,3912,2814,3998,2450,3351,2207,3311
54,All India,Urban,SS (I-X),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,14,22,19,20,14,26,17,21,17,22,0,0,0,0
55,All India,Rural,SS (VI-X),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,988,1219,885,1285,859,1299,996,1182,921,1284,0,0,0,0
56,All India,Urban,SS (VI-X),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,314,444,310,461,304,456,340,411,355,512,0,0,0,0
57,All India,Rural,UPS (I-VIII),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,17,23,13,27,12,26,0,0,0,0,0,0,0,0
58,All India,Rural,UPS (VI-VIII),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,134,178,106,175,108,171,0,0,0,0,0,0,0,0
59,All India,Urban,UPS (VI-VIII),Jawahar Navodaya Vidyalaya,0,0,0,0,0,0,0,0,0,0,0,0,52,67,58,103,51,103,0,0,0,0,0,0,0,0
60,All India,Rural,HSS (I-XII),Kendriya Vidyalaya / Central School,35,46,13272,14896,13747,15847,13652,15561,13417,16030,13488,16275,13504,16320,13232,16026,13028,16023,12733,15637,11893,15058,11425,13736,10494,11934
